Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerV3,wranglerUnenv
*globals*,Reflect.setPrototypeOf,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,RegExp,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Request,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Response,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Set,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,SharedArrayBuffer,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,String,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,SubtleCrypto,supported,supported,supported,unsupported,supported,supported,supported,supported,supported
*globals*,Symbol,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,SyntaxError,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,TextDecoder,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,TextDecoderStream,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,TextEncoder,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,TextEncoderStream,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,TransformStream,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,TransformStreamDefaultController,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,TypeError,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,URIError,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,URL,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,URLSearchParams,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Uint16Array,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Uint32Array,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Uint8Array,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Uint8ClampedArray,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WeakMap,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WeakRef,supported,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,WeakSet,supported,supported,supported,supported,supported,supported,supported,supported,supported
